team1,team2,win,team1_tier,team2_tier
pet-buffalo.pet-spider.pet-lobster,pet-microbe.pet-hatching-chick.pet-tyrannosaurus,0,10,13
pet-fish.pet-skunk.pet-buffalo,pet-dragon.pet-fly.pet-turtle,1,9,15
pet-octopus.pet-rooster.pet-crab,pet-poodle.pet-bluebird.pet-chicken,0,12,11
pet-whale.pet-ox.pet-cat,pet-hippo.pet-poodle.pet-llama,0,13,13
pet-hippo.pet-owl.pet-fish,pet-bluebird.pet-puppy.pet-hedgehog,0,8,6
pet-parrot.pet-blowfish.pet-deer,pet-tabby-cat.pet-squirrel.pet-turkey,0,11,11
pet-pig.pet-beetle.pet-boar,pet-sauropod.pet-pig.pet-rat,0,8,9
pet-spider.pet-crocodile.pet-skunk,pet-buffalo.pet-penguin.pet-beaver,0,11,9
pet-hatching-chick.pet-mammoth.pet-rabbit,pet-butterfly.pet-seal.pet-tabby-cat,2,12,7
pet-scorpion.pet-sloth.pet-swan,pet-rooster.pet-fish.pet-goat,1,8,10
pet-hedgehog.pet-bison.pet-cricket,pet-bluebird.pet-goat.pet-deer,1,7,10
pet-goat.pet-worm.pet-none,pet-monkey.pet-bee.pet-microbe,0,9,9
pet-rooster.pet-butterfly.pet-dromedary,pet-octopus.pet-caterpillar.pet-leopard,1,6,15
pet-turtle.pet-eagle.pet-dolphin,pet-badger.pet-boar.pet-cricket,0,12,10
pet-sauropod.pet-snail.pet-cat,pet-otter.pet-tiger.pet-lobster,0,15,11
pet-skunk.pet-ant.pet-spider,pet-rabbit.pet-spider.pet-snake,1,7,11
pet-hedgehog.pet-gorilla.pet-leopard,pet-snake.pet-ant.pet-dragon,0,14,13
pet-pig.pet-rabbit.pet-goat,pet-mammoth.pet-ant.pet-fly,1,9,13
pet-horse.pet-worm.pet-skunk,pet-puppy.pet-hedgehog.pet-snake,1,9,11
pet-dodo.pet-crocodile.pet-tabby-cat,pet-microbe.pet-camel.pet-penguin,0,9,11
pet-parrot.pet-hedgehog.pet-eagle,pet-buffalo.pet-rabbit.pet-fish,0,11,8
pet-peacock.pet-butterfly.pet-dolphin,pet-skunk.pet-dolphin.pet-beaver,1,6,9
pet-mosquito.pet-giraffe.pet-swan,pet-mammoth.pet-giraffe.pet-pig,1,6,10
pet-sloth.pet-gorilla.pet-giraffe,pet-horse.pet-crocodile.pet-duck,0,10,7
pet-cat.pet-seal.pet-deer,pet-dirty-rat.pet-butterfly.pet-sheep,0,15,3
pet-parrot.pet-tiger.pet-parrot,pet-giraffe.pet-turkey.pet-turkey,0,14,13
pet-hatching-chick.pet-sheep.pet-poodle,pet-swan.pet-puppy.pet-hippo,1,11,9
pet-tropical-fish.pet-beaver.pet-butterfly,pet-turkey.pet-dirty-rat.pet-otter,0,4,6
pet-flamingo.pet-bluebird.pet-turkey,pet-lobster.pet-scorpion.pet-seal,1,8,14
pet-rabbit.pet-rat.pet-bison,pet-flamingo.pet-snake.pet-penguin,1,9,12
pet-elephant.pet-kangaroo.pet-fish,pet-bluebird.pet-squirrel.pet-buffalo,0,6,9
pet-dolphin.pet-dog.pet-tiger,pet-sloth.pet-tyrannosaurus.pet-scorpion,0,13,12
pet-sheep.pet-turtle.pet-bluebird,pet-puppy.pet-crab.pet-cow,2,7,10
pet-hatching-chick.pet-dolphin.pet-snake,pet-scorpion.pet-seal.pet-boar,0,13,16
pet-dolphin.pet-badger.pet-tabby-cat,pet-sheep.pet-beaver.pet-kangaroo,0,9,7
pet-dromedary.pet-crocodile.pet-rat,pet-penguin.pet-tropical-fish.pet-duck,0,9,8
pet-poodle.pet-dromedary.pet-snail,pet-swan.pet-bee.pet-deer,1,10,6
pet-swan.pet-seal.pet-spider,pet-shrimp.pet-llama.pet-otter,0,9,7
pet-bat.pet-ox.pet-microbe,pet-peacock.pet-crocodile.pet-squirrel,1,9,11
pet-beaver.pet-hatching-chick.pet-penguin,pet-elephant.pet-goat.pet-monkey,1,8,12
pet-horse.pet-monkey.pet-tyrannosaurus,pet-snail.pet-bluebird.pet-eagle,1,12,9
pet-tabby-cat.pet-blowfish.pet-pig,pet-peacock.pet-lobster.pet-duck,0,6,7
pet-turtle.pet-monkey.pet-giraffe,pet-ladybug.pet-shrimp.pet-eagle,1,11,8
pet-parrot.pet-poodle.pet-rabbit,pet-mammoth.pet-seal.pet-shrimp,1,12,13
pet-mosquito.pet-buffalo.pet-lobster,pet-fish.pet-eagle.pet-ant,1,9,7
pet-blowfish.pet-beetle.pet-squirrel,pet-turkey.pet-fish.pet-rhino,1,8,11
pet-deer.pet-squirrel.pet-tiger,pet-tropical-fish.pet-tabby-cat.pet-owl,0,14,8
pet-goat.pet-dolphin.pet-bison,pet-dolphin.pet-sloth.pet-scorpion,0,13,10
pet-beetle.pet-bat.pet-penguin,pet-hippo.pet-squirrel.pet-sheep,1,7,11
pet-cat.pet-crocodile.pet-dog,pet-beetle.pet-pig.pet-bluebird,0,14,3
pet-deer.pet-flamingo.pet-tropical-fish,pet-snail.pet-deer.pet-skunk,0,9,11
pet-mammoth.pet-tabby-cat.pet-mammoth,pet-camel.pet-crab.pet-squirrel,0,14,9
pet-chicken.pet-mammoth.pet-duck,pet-fly.pet-dog.pet-bee,1,12,9
pet-beetle.pet-rooster.pet-mammoth,pet-ant.pet-crocodile.pet-none,0,11,6
pet-none.pet-deer.pet-flamingo,pet-microbe.pet-microbe.pet-rhino,0,6,13
pet-shrimp.pet-turkey.pet-dodo,pet-microbe.pet-scorpion.pet-boar,2,9,15
pet-scorpion.pet-tyrannosaurus.pet-sauropod,pet-hedgehog.pet-crab.pet-pig,0,17,5
pet-butterfly.pet-squirrel.pet-horse,pet-dog.pet-cow.pet-tropical-fish,1,5,11
pet-leopard.pet-badger.pet-turtle,pet-badger.pet-ox.pet-crocodile,0,12,11
pet-dragon.pet-sauropod.pet-chicken,pet-octopus.pet-buffalo.pet-spider,1,17,12
pet-camel.pet-snake.pet-gorilla,pet-cat.pet-pig.pet-beetle,0,15,8
pet-lobster.pet-rhino.pet-caterpillar,pet-horse.pet-butterfly.pet-fly,1,12,7
pet-lobster.pet-butterfly.pet-deer,pet-fly.pet-squirrel.pet-buffalo,1,8,14
